[y^2 = x^12 + x + 1] 11 65521
1907,0,-682,-744,940,-301
1913,-16,103,-258,780,45
1931,12,936,-700,-247,-245
1933,37,690,-110,-407,-558
1949,-22,-265,341,81,416
1951,7,390,-732,402,683
1973,24,683,-747,-181,606
1979,32,-505,550,775,341
1987,13,616,-408,70,854
1993,-1,372,-757,681,-817
1997,-11,362,-863,216,259
1999,1,85,432,981,-106
2003,7,397,814,-133,-867
2011,-25,-305,-154,662,234
2017,-17,998,249,129,942
2027,-31,822,374,6,-335
2029,89,473,66,756,270
2039,46,83,310,794,92
2053,-7,-246,-97,437,25
2063,-43,171,373,138,660
2069,10,394,-741,523,103
2081,59,-137,-961,-177,209
2083,-56,-587,949,1012,-51
2087,-7,-749,834,789,687
2089,47,-223,-945,305,217
2099,-55,349,318,-413,216
2111,5,431,-931,-996,531
2113,48,516,473,246,-849
2129,87,469,-952,-863,977
2131,-73,547,528,-251,-213
2137,92,-750,939,-94,-1004
2141,-124,555,-537,185,-775
2143,-63,864,67,-755,-1043
2153,15,-334,403,-102,-901
2161,-12,1067,-307,377,250
2179,21,673,491,-258,-138
2203,49,107,-503,-185,-879
2207,1,-125,-475,-204,326
2213,-9,-465,661,764,-885
2221,18,-540,-987,153,-248
2237,18,866,-514,968,-991
2239,10,-604,-986,-50,55
2243,-9,-507,220,1056,-99
2251,-28,501,586,-799,-24
2267,-53,925,1083,-131,-1030
2269,22,-865,419,338,-831
2273,-78,-1082,-784,825,-1060
2281,-99,676,-755,-388,554
2287,-54,231,-253,966,34
2293,-72,-186,909,-1035,-711
2297,17,-982,1074,220,-412
2309,14,1093,119,502,-656
2311,-76,235,-607,-653,-1047
2333,93,-1029,-621,922,177
2339,57,871,-571,-724,718
2341,-21,-95,-891,-14,-18
2347,-17,-108,1045,1081,1082
2351,-62,-529,197,940,933
2357,-72,-1057,-989,821,483
2371,-4,1028,-465,142,-287
2377,69,79,873,945,147
2381,-34,-279,-262,982,169
2383,46,776,-985,-880,-1081
2389,2,7,-185,719,-542
2393,-33,-735,-820,22,-272
2399,-28,-890,954,931,-72
2411,-13,-297,921,552,-359
2417,-6,-452,32,-729,-110
2423,-40,310,-847,-1028,35
2437,-21,-520,1062,336,909
2441,48,-1095,-217,-1007,100
2447,-40,-340,642,1000,373
2459,109,-802,838,-330,682
2467,78,1055,-924,-504,837
2473,-103,-783,-952,271,505
2477,12,938,-1164,363,-528
2503,-50,-47,1212,1149,-1085
2521,-12,650,555,900,-1201
2531,23,435,1210,-806,586
2539,-49,879,631,-1104,248
2543,-16,167,596,634,996
2549,52,-813,-114,189,-581
2551,-33,250,179,172,-616
2557,-8,-1176,1135,-71,1006
2579,-26,-699,-550,872,-1245
2591,-3,1060,-202,-1011,-419
2593,-84,-943,-1182,249,-841
2609,-33,-455,-835,1068,-446
2617,-6,-156,819,-540,1232
2621,-3,1080,239,1160,-675
2633,-3,25,1202,1270,-1132
2647,54,422,-784,-283,310
2657,-50,307,-784,67,-701
2659,76,946,-36,1175,-171
2663,65,1129,1227,-837,575
2671,-88,-527,150,286,-774
2677,-38,78,409,-1223,-781
2683,59,-720,550,1136,1030
2687,-57,-1203,336,-378,935
2689,64,-916,423,-141,297
2693,126,-757,851,1196,1146
2699,-42,-754,190,1083,266
2707,19,-370,-219,-567,1124
2711,-75,-1023,526,307,849
2713,34,-941,-1126,1201,-156
2719,-10,772,-1316,-1342,987
2729,-62,1115,-618,539,-1278
2731,-2,1144,-78,-1300,1020
2741,124,700,530,410,1153
2749,62,-293,-649,806,-149
2753,-16,401,700,-882,949
2767,31,-420,-968,1204,-733
2777,-77,-1019,-466,828,-893
2789,3,1011,370,-701,917
2791,-15,-1284,828,-679,620
2797,23,-883,-983,652,-897
2801,55,-825,-383,-12,580
2803,-8,-613,-321,664,-1202
2819,-46,917,269,-475,-983
2833,-1,-932,78,646,1013
2837,-3,-1096,1375,-644,1045
2843,-16,834,152,516,871
2851,52,-1050,-947,1131,626
2857,-75,-240,-792,-1302,-1047
2861,24,944,447,-1006,149
2879,-3,1280,942,-42,-1325
2887,50,-1422,243,-694,-882
2897,-46,-1356,-71,992,-208
2903,-4,-906,-282,-676,-886
2909,-151,552,-267,633,-897
2917,61,1186,-585,1088,754
2927,-20,255,-1072,-546,-664
2939,-10,1237,-118,-638,848
2953,-41,425,93,166,-257
2957,21,623,-1039,-511,1196
2963,85,-63,405,161,-881
2969,16,105,-457,869,523
2971,-52,-732,-801,860,1016
2999,39,844,1137,-378,632
3001,140,545,-482,665,-629
3011,4,648,-864,1082,1176
3019,-31,-957,664,-774,-1022
3023,25,1243,1280,1493,654
3037,-22,773,-759,354,-582
3041,21,292,1438,-556,-1372
3049,-32,-663,999,650,1344
3061,1,687,1354,797,496
3067,-17,314,-1524,937,1133
3079,-129,-998,-588,-746,-831
3083,-43,1233,-663,-328,479
3089,8,579,-193,-425,354
3109,11,285,787,-433,694
3119,142,-914,-369,-607,-522
3121,31,-938,1263,-709,-793
3137,79,963,-57,-622,1526
3163,-25,1554,815,-1405,942
3167,14,1338,1471,1054,-1276
3169,-10,1296,706,527,-1507
3181,-45,1478,108,-796,1279
3187,-31,-1420,689,-453,-588
3191,-11,1369,547,546,91
3203,-7,425,222,-1002,-1341
3209,8,-85,-1384,-428,564
3217,67,-234,-645,-946,1374
3221,-5,694,-995,422,-1197
3229,17,-149,-1290,1307,1095
3251,44,1478,898,1182,-1157
3253,-36,-126,-82,-981,-594
3257,26,181,967,-542,275
3259,82,899,871,490,-272
3271,-33,33,-1041,586,-1017
3299,69,-1125,1391,-559,942
3301,46,243,659,259,1585
3307,93,1142,784,1163,122
3313,52,775,-990,-318,448
3319,28,-1578,-1180,404,283
3323,94,769,1022,-923,-513
3329,-141,-815,738,-1308,274
3331,39,-609,705,409,1193
3343,15,-1122,116,-1492,461
3347,43,-1672,-962,-648,1623
3359,106,1189,610,-1294,-17
3361,120,-1180,-402,1330,-1303
3371,62,-861,1261,-1445,837
3373,29,-1543,744,460,-1642
3389,-113,556,-579,-50,-178
3391,-22,-597,-1566,1107,342
3407,-86,-451,-1117,696,-842
3413,-80,683,1054,611,-1461
3433,82,-311,-1243,1577,318
3449,28,-312,610,141,-1236
3457,14,1475,869,1116,-175
3461,-41,-1527,-260,540,-1045
3463,126,-391,4,827,-816
3467,115,341,-513,-608,369
3469,-44,443,-686,-710,519
3491,-47,487,-683,64,1563
3499,22,1657,1196,-1565,-1577
3511,61,-453,915,-697,-99
3517,-106,-870,1624,-603,-1525
3527,-45,1468,-897,-165,393
3529,-28,-669,-1597,-676,-932
3533,-35,1268,-1314,174,1742
3539,-34,-1304,1124,-801,-999
3541,58,-65,576,1197,891
3547,-50,-189,822,-367,980
3557,101,337,-169,1760,-486
3559,89,1403,-291,1234,1400
3571,-48,786,548,1248,520
3581,-17,1035,1330,-402,482
3583,-4,362,230,-228,1720
3593,42,-83,766,1237,-1452
3607,24,534,-1024,631,1593
3613,20,-570,528,-1272,1443
3617,21,368,-1224,-1343,-872
3623,62,1291,35,-400,1790
3631,-127,1759,-1569,-1637,1538
3637,-106,329,-39,1126,-411
3643,28,1238,-1307,894,1405
3659,-72,-180,1692,-1493,1111
3671,22,1820,-41,-335,-1574
3673,53,-1653,1835,-744,-830
3677,94,-818,-1725,-650,-914
3691,-9,1655,905,-1337,664
3697,131,1210,1270,1742,1108
3701,4,-1609,-1409,1371,700
3709,87,-1809,19,-1577,1053
3719,124,-201,-275,-893,1060
3727,-40,-956,137,-1711,-1147
3733,-112,-1213,-559,95,-527
3739,-52,-1435,55,124,-331
3761,-228,-1632,31,-369,-1813
3767,-50,74,871,1563,217
3769,-53,-1383,794,-287,-89
3779,-2,-771,1466,1206,-1792
3793,20,1695,1153,949,1374
3797,31,-4,-1349,675,1061
3803,33,-1070,1694,1718,191
3821,-152,-871,-1446,-1550,-1353
3823,59,519,-1288,78,170
3833,24,908,-1323,-443,-1752
3847,-5,-1788,1188,912,-1541
3851,-45,-566,-676,-1111,-1078
3853,2,421,1862,144,-1314
3863,-38,1518,1250,-440,-631
3877,26,-1593,1406,1662,-166
3881,48,1498,-42,1314,744
3889,116,1374,-1369,1744,-853
3907,-85,80,369,-911,201
3911,43,1814,-878,1209,-323
3917,-7,-1268,-1698,-1821,-262
3919,24,-445,-437,-1341,580
3923,37,-1837,1942,325,1445
3929,-46,-599,689,-943,1692
3931,-40,-1808,1505,-1864,-908
3943,-53,-1965,-1135,-238,-1326
3947,-24,-1930,1920,1737,-196
3967,-28,1678,-757,26,-1523
3989,0,-1895,1787,-1,806
4001,-20,-1989,1876,-404,-303
4003,-13,777,-116,-1550,-21
4007,-15,1863,-197,-1811,914
4013,-62,1039,977,-1721,510
4019,57,290,-1176,-1377,115
4021,43,-1559,1932,-1050,-823
4027,-49,-1446,-1197,1582,-1863
4049,-31,-385,-1680,823,190
4051,-77,-934,1730,-956,-575
4057,-23,-1553,1949,-792,147
4073,104,826,-896,675,-62
4079,-3,1416,439,-567,-2036
4091,48,-597,-1806,1111,-1080
4093,-58,2046,-1596,1048,517
4099,-52,1209,812,-183,113
4111,-45,-998,1510,1474,-1222
4127,61,-409,1084,1562,929
4129,79,-1094,-1148,-419,-1343
4133,39,-1989,-1634,1472,-805
4139,32,-1014,-1507,1892,-544
4153,57,-1910,-775,-856,78
4157,37,1628,-1075,-376,1069
4159,47,-146,-1512,-101,1489
4177,-119,-1223,-650,-260,700
4201,13,551,-889,627,1819
4211,-43,633,-1447,-1529,163
4217,-86,-1624,-1277,-637,-1842
4219,54,2066,-1168,-1911,-1464
4229,39,-638,-56,-332,-1137
4231,-28,-1233,1689,1223,-1931
4241,-144,702,-1955,408,1052
4243,1,714,-439,2015,1346
4253,56,2054,-1940,-774,906
4259,138,-38,1668,-941,684
4261,63,-3,-1413,816,1943
4271,61,-421,-311,-2134,445
4273,50,-1418,1511,-2047,266
4283,37,1571,-488,-1978,-8
4289,-57,144,-1136,1257,1988
4297,-18,179,-859,-1370,1107
4327,53,2041,-1605,-247,-26
4337,-61,597,1449,1809,-1225
4339,-68,58,-318,-1636,1859
4349,30,1729,-1998,1885,320
4357,87,1504,441,258,657
4363,-15,684,924,103,753
4373,94,-177,-498,1035,1158
4391,-102,999,1027,363,644
4397,-77,1978,-895,-1140,-737
4409,7,-1750,-1522,2111,-2034
4421,2,332,1287,1056,363
4423,-10,-768,1757,291,39
4441,-111,2100,1798,-760,-101
4447,117,1274,-553,708,-2040
4451,98,562,-1640,-687,582
4457,-18,2088,646,-761,758
4463,-141,-1586,-1312,385,-68
4481,-96,2125,-1521,-741,-741
4483,-95,89,-922,-541,-1461
4493,82,-757,962,1476,-1896
4507,27,1837,2224,-807,1330
4513,85,1320,-1899,757,-1440
4517,61,-500,-319,-1116,-926
4519,-81,-2165,-330,1918,-168
4523,47,-650,-1172,-2179,1605
4547,136,-2074,2229,1082,331
4549,120,372,-813,624,-1859
4561,33,1145,-1003,1740,1442
4567,39,1303,2027,2276,-1186
4583,51,821,1287,-1325,-1696
4591,-72,-1267,789,-409,2059
4597,-5,2246,33,-101,-29
4603,-20,1595,1804,-594,605
4621,131,-1665,301,1518,349
4637,35,1019,701,-1622,-729
4639,-49,555,-1790,-698,487
4643,-94,-956,-758,2148,-698
4649,86,1992,-1039,633,382
4651,-76,373,-176,-1020,-145
4657,138,2200,130,-1727,82
4663,67,-2127,-201,1806,1833
4673,-126,-1130,-876,-546,-489
4679,37,-1203,1056,459,1452
4691,1,-1350,1129,-1552,-472
4703,-53,776,1987,561,-2178
4721,42,1580,-85,-1800,-1115
4723,112,1521,1988,-1415,98
4729,-76,1073,1836,375,-2110
4733,-34,1084,2290,941,-489
4751,7,1415,1188,1946,1151
4759,-38,1035,1752,-2347,779
4783,105,211,-18,1889,413
4787,18,2083,-336,-1904,808
4789,-32,168,1027,-1340,1668
4793,-36,-1574,1214,611,-534
4799,-11,-493,1161,-1946,-2044
4801,-139,-1241,-1584,-165,119
4813,-60,-694,-741,-1693,900
4817,81,168,-793,2275,-1136
4831,31,-1633,1491,-2086,-1529
4861,99,-1142,-1369,568,533
4871,99,-1679,-1006,1005,979
4877,-66,859,666,1035,1994
4889,48,-1170,2335,380,-2328
4903,10,229,-533,-2186,527
4909,-87,-1596,947,717,-2397
4919,-59,894,-1412,-1936,1384
4931,37,588,631,-312,-1679
4933,-22,-1338,-1113,-1955,-898
4937,113,-1763,-2194,-1646,1194
4943,23,-1306,2123,822,2353
4951,-75,662,-1310,880,-1962
4957,38,-2285,-2049,-1450,-2249
4967,51,416,689,532,-308
4969,-36,1165,-2434,-88,-163
4973,-29,2460,-101,2292,-1964
4987,77,-500,-1485,-481,-2022
4993,101,-1849,-1488,1841,15
4999,-97,674,1725,-834,-172
5003,-13,-1365,1385,-1713,-2322
5009,-4,2492,2453,925,-1970
5011,43,1069,-85,1211,-581
5021,-14,1303,1633,-722,2267
5023,64,-791,-547,-1626,2203
5039,111,2100,-2382,1473,79
5051,-26,1095,1055,-644,1660
5059,18,-1886,-709,140,-809
5077,-66,-1216,264,-1142,-996
5081,4,520,1793,-76,1103
5087,4,182,2437,668,-2511
5099,34,-1368,-2083,1163,-1973
5101,36,366,-664,-261,-1189
5107,46,-1809,-1118,1273,-933
5113,-45,-1485,-1640,-172,1548
5119,-23,1786,-61,-78,-60
5147,20,2462,191,-797,-2352
5153,-54,-791,903,146,1631
5167,92,1299,-1724,1664,1676
5171,70,-1792,253,-411,-122
5179,0,1121,2116,-284,-125
5189,-108,353,-471,292,-1791
5197,84,-1656,-2448,2414,1449
5209,-49,717,472,-2461,-1757
5227,33,-473,419,854,-764
5231,-19,1717,1758,-1952,-1332
5233,87,938,1123,-1913,329
5237,-5,662,-578,-676,-2609
5261,43,-1891,-1121,2281,1091
5273,-38,-1343,-2255,-889,1993
5279,120,-2547,-284,-2377,-2365
5281,-38,-104,-1127,-1976,155
5297,-46,-359,-484,-1207,-2377
5303,28,-621,-1776,-1409,532
5309,-88,2505,293,1384,-911
5323,142,1761,783,141,82
5333,6,6,-881,-2369,-925
5347,-65,1699,1350,-325,339
5351,-6,2673,-2379,-835,861
5381,-42,1055,-74,1299,-1453
5387,-55,-2585,57,1936,-842
5393,-14,246,-1301,1945,1201
5399,-38,-957,396,1577,2614
5407,10,1161,2528,-1618,2448
5413,112,-23,2061,2343,-865
5417,47,-1471,1557,1967,-1891
5419,-74,13,2075,1286,-2292
5431,-71,811,1258,1890,-1288
5437,-23,1043,527,1057,-500
5441,19,2569,2407,-1203,-1742
5443,-16,-2239,1044,-354,1839
5449,-74,132,-2547,-739,34
5471,-106,1352,-2119,151,2583
5477,94,-1019,2733,-2104,-535
5479,-73,-1158,1680,-1629,-1197
5483,2,-505,2422,-988,2277
5501,-51,-282,-1709,-197,333
5503,39,1659,-802,-1469,264
5507,-21,1505,-586,-1861,-578
5519,68,-2110,-2305,-2247,1520
5521,12,746,-2515,-2514,-2530
5527,-28,-953,2102,-2489,-663
5531,-35,943,-245,942,2508
5557,33,-1486,2325,2203,142
5563,-109,-656,-37,1011,390
5569,-1,-1366,-2398,549,-754
5573,68,2000,2364,1627,-1371
5581,-24,13,-238,1699,125
5591,114,-2019,1258,-1510,2164
5623,224,-209,-1490,-1281,-429
5639,108,-1719,1468,-1977,2307
5641,13,-1057,2194,-2545,1022
5647,-15,2024,-1987,1501,2554
5651,-42,37,2758,314,2197
5653,84,-1700,1987,1643,222
5657,78,477,-1846,-682,-1207
5659,2,1442,2681,-1216,436
5669,-16,1542,-413,-1589,1206
5683,14,-591,2117,1064,-1484
5689,-33,-2378,-1805,1268,-2646
5693,-50,-2507,1061,-1743,-2016
5701,-21,-734,313,2081,101
5711,-45,-2760,-2555,276,-2817
5717,-135,241,2230,887,-1035
5737,-224,1979,950,-197,-1117
5741,73,-311,-113,971,2834
5743,-80,1931,-2628,-18,1636
5749,-59,-666,-1653,799,-1737
5779,-108,-1336,1658,-1769,-1639
5783,-30,-67,-1455,269,-2554
5791,-44,-1298,-1134,-506,175
5801,55,-2854,-1474,-758,-762
5807,2,-165,-2525,-1492,2615
5813,28,-66,983,-2310,2430
5821,62,327,2614,-162,-1330
5827,47,-423,-980,-2143,2295
5839,99,-201,2228,2856,-84
5843,160,2742,-1156,1990,1900
5849,18,2702,-983,-131,1589
